"","lambda","mu","nu","q","seed","crown_age","cond","ess_likelihood","site_model","clock_model","tree_prior","best_or_gen","burn_in_fraction","sample_interval","tree"
"161",0.2,0,2,0.2,41,6,1,4,"JC69","strict","birth_death","gen",0.1,1000,"true"
"162",0.2,0,2,0.2,41,6,1,113,"JC69","strict","yule","best",0.1,1000,"true"
"163",0.2,0,2,0.2,41,6,1,185,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"164",0.2,0,2,0.2,41,6,1,190,"JC69","strict","birth_death","best",0.1,1000,"twin"
"165",0.2,0,2,0.2,42,6,1,218,"JC69","strict","birth_death","gen",0.1,1000,"true"
"166",0.2,0,2,0.2,42,6,1,149,"JC69","strict","birth_death","best",0.1,1000,"true"
"167",0.2,0,2,0.2,42,6,1,43,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"168",0.2,0,2,0.2,42,6,1,43,"JC69","strict","yule","best",0.1,1000,"twin"
"169",0.2,0.15,2,0.2,43,6,1,5,"JC69","strict","birth_death","gen",0.1,1000,"true"
"170",0.2,0.15,2,0.2,43,6,1,1001,"JC69","strict","yule","best",0.1,1000,"true"
"171",0.2,0.15,2,0.2,43,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"172",0.2,0.15,2,0.2,43,6,1,767,"JC69","strict","yule","best",0.1,1000,"twin"
"173",0.2,0.15,2,0.2,44,6,1,1001,"JC69","strict","birth_death","gen",0.1,1000,"true"
"174",0.2,0.15,2,0.2,44,6,1,1001,"JC69","strict","yule","best",0.1,1000,"true"
"175",0.2,0.15,2,0.2,44,6,1,740,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"176",0.2,0.15,2,0.2,44,6,1,943,"JC69","strict","birth_death","best",0.1,1000,"twin"
"177",0.2,0,2.5,0.2,45,6,1,603,"JC69","strict","birth_death","gen",0.1,1000,"true"
"178",0.2,0,2.5,0.2,45,6,1,636,"JC69","strict","birth_death","best",0.1,1000,"true"
"179",0.2,0,2.5,0.2,45,6,1,420,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"180",0.2,0,2.5,0.2,45,6,1,383,"JC69","strict","yule","best",0.1,1000,"twin"
"181",0.2,0,2.5,0.2,46,6,1,608,"JC69","strict","birth_death","gen",0.1,1000,"true"
"182",0.2,0,2.5,0.2,46,6,1,531,"JC69","strict","yule","best",0.1,1000,"true"
"183",0.2,0,2.5,0.2,46,6,1,341,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"184",0.2,0,2.5,0.2,46,6,1,40,"JC69","strict","birth_death","best",0.1,1000,"twin"
"185",0.2,0.15,2.5,0.2,47,6,1,305,"JC69","strict","birth_death","gen",0.1,1000,"true"
"186",0.2,0.15,2.5,0.2,47,6,1,436,"JC69","strict","yule","best",0.1,1000,"true"
"187",0.2,0.15,2.5,0.2,47,6,1,6,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"188",0.2,0.15,2.5,0.2,47,6,1,8,"JC69","strict","birth_death","best",0.1,1000,"twin"
"189",0.2,0.15,2.5,0.2,48,6,1,35,"JC69","strict","birth_death","gen",0.1,1000,"true"
"190",0.2,0.15,2.5,0.2,48,6,1,11,"JC69","strict","yule","best",0.1,1000,"true"
"191",0.2,0.15,2.5,0.2,48,6,1,4,"JC69","strict","birth_death","gen",0.1,1000,"twin"
"192",0.2,0.15,2.5,0.2,48,6,1,8,"JC69","strict","birth_death","best",0.1,1000,"twin"
