"","lambda","mu","nu","q","crown_age","cond","seed","site_model","clock_model","tree_prior","marg_log_lik","marg_log_lik_sd","weight","gen_model"
"151",0.2,0.15,1,0.1,6,1,4,"JC69","strict","birth_death",-12476.4894470172,0.502809257356167,0,"bd"
"152",0.2,0.15,1,0.1,6,1,4,"JC69","strict","yule",-12476.9746637232,0.390149043225899,0,"bd"
"153",0.2,0.15,1,0.1,6,1,4,"GTR","strict","birth_death",-6824.90295362314,6.97919548150709,1,"bd"
"154",0.2,0.15,1,0.1,6,1,4,"JC69","strict","birth_death",-12476.2236380282,0.722942841411607,0,"mbd"
"155",0.2,0.15,1,0.1,6,1,4,"JC69","strict","yule",-5987.5675107588,6.70332194516768,0.994694843869251,"mbd"
"156",0.2,0.15,1,0.1,6,1,4,"GTR","strict","birth_death",-5992.80126755685,6.51453887321167,0.00530515613074945,"mbd"
"157",0.2,0.15,1,0.15,6,1,19,"JC69","strict","birth_death",-9865.53386072005,6.60911129516022,0.999999999990041,"bd"
"158",0.2,0.15,1,0.15,6,1,19,"JC69","strict","yule",-9890.86665718089,7.82498933088495,9.95649054996882e-12,"bd"
"159",0.2,0.15,1,0.15,6,1,19,"GTR","strict","birth_death",-9899.06274029299,9.03504346061496,2.74531774391331e-15,"bd"
"160",0.2,0.15,1,0.15,6,1,19,"JC69","strict","birth_death",-8592.87599724111,6.30442680614922,0.99604490419062,"mbd"
"161",0.2,0.15,1,0.15,6,1,19,"JC69","strict","yule",-8598.40478475642,6.93985746578133,0.00395509580933952,"mbd"
"162",0.2,0.15,1,0.15,6,1,19,"GTR","strict","birth_death",-8623.7055931962,8.61856739937305,4.06588897427134e-14,"mbd"
"163",0.2,0.15,1,0.15,6,1,20,"JC69","strict","birth_death",-7397.47029356118,6.61163497242999,1,"bd"
"164",0.2,0.15,1,0.15,6,1,20,"JC69","strict","yule",-11090.6883003513,0.584181320539424,0,"bd"
"165",0.2,0.15,1,0.15,6,1,20,"GTR","strict","birth_death",-7444.93322008221,10.3339103263875,2.43844473368433e-21,"bd"
"166",0.2,0.15,1,0.15,6,1,20,"JC69","strict","birth_death",-7282.50953950791,5.79463675496823,0.999774466504231,"mbd"
"167",0.2,0.15,1,0.15,6,1,20,"JC69","strict","yule",-7290.90635581917,6.3748912134193,0.000225533495738593,"mbd"
