"","folder","ess_likelihood","tree","best_or_gen"
"256","data/0.2-0-2-0.1/44",882,"twin","best"
"257","data/0.2-0-2-0.1/45",618,"true","gen"
"258","data/0.2-0-2-0.1/45",423,"true","best"
"259","data/0.2-0-2-0.1/45",24,"twin","gen"
"260","data/0.2-0-2-0.1/45",143,"twin","best"
"261","data/0.2-0-2-0.1/46",3,"true","gen"
"262","data/0.2-0-2-0.1/46",736,"true","best"
"263","data/0.2-0-2-0.1/46",10,"twin","gen"
"264","data/0.2-0-2-0.1/46",344,"twin","best"
"265","data/0.2-0-2-0.1/47",901,"true","gen"
"266","data/0.2-0-2-0.1/47",709,"true","best"
"267","data/0.2-0-2-0.1/47",726,"twin","gen"
"268","data/0.2-0-2-0.1/47",154,"twin","best"
"269","data/0.2-0-2-0.1/48",428,"true","gen"
"270","data/0.2-0-2-0.1/48",518,"true","best"
"271","data/0.2-0-2-0.1/48",522,"twin","gen"
"272","data/0.2-0-2-0.1/48",546,"twin","best"
"273","data/0.2-0-2-0.1/49",741,"true","gen"
"274","data/0.2-0-2-0.1/49",675,"true","best"
"275","data/0.2-0-2-0.1/49",733,"twin","gen"
"276","data/0.2-0-2-0.1/49",317,"twin","best"
"277","data/0.2-0-2-0.1/50",901,"true","gen"
"278","data/0.2-0-2-0.1/50",901,"true","best"
"279","data/0.2-0-2-0.1/50",901,"twin","gen"
"280","data/0.2-0-2-0.1/50",770,"twin","best"
"281","data/0.2-0-2-0.15/121",30,"true","gen"
"282","data/0.2-0-2-0.15/121",14,"true","best"
"283","data/0.2-0-2-0.15/121",17,"twin","gen"
"284","data/0.2-0-2-0.15/121",414,"twin","best"
"285","data/0.2-0-2-0.15/122",874,"true","gen"
"286","data/0.2-0-2-0.15/122",901,"true","best"
"287","data/0.2-0-2-0.15/122",874,"twin","gen"
"288","data/0.2-0-2-0.15/122",889,"twin","best"
"289","data/0.2-0-2-0.15/123",738,"true","gen"
"290","data/0.2-0-2-0.15/123",450,"true","best"
"291","data/0.2-0-2-0.15/123",638,"twin","gen"
"292","data/0.2-0-2-0.15/123",671,"twin","best"
"293","data/0.2-0-2-0.15/124",3,"true","gen"
"294","data/0.2-0-2-0.15/124",261,"true","best"
"295","data/0.2-0-2-0.15/124",3,"twin","gen"
"296","data/0.2-0-2-0.15/124",859,"twin","best"
"297","data/0.2-0-2-0.15/125",447,"true","gen"
"298","data/0.2-0-2-0.15/125",194,"true","best"
"299","data/0.2-0-2-0.15/125",468,"twin","gen"
"300","data/0.2-0-2-0.15/125",403,"twin","best"
"301","data/0.2-0-2-0.15/126",723,"true","gen"
"302","data/0.2-0-2-0.15/126",176,"true","best"
"303","data/0.2-0-2-0.15/126",193,"twin","gen"
"304","data/0.2-0-2-0.15/126",560,"twin","best"
"305","data/0.2-0-2-0.15/127",8,"true","gen"
"306","data/0.2-0-2-0.15/127",278,"true","best"
"307","data/0.2-0-2-0.15/127",288,"twin","gen"
"308","data/0.2-0-2-0.15/127",410,"twin","best"
"309","data/0.2-0-2-0.15/128",6,"true","gen"
"310","data/0.2-0-2-0.15/128",7,"true","best"
"311","data/0.2-0-2-0.15/128",3,"twin","gen"
"312","data/0.2-0-2-0.15/128",3,"twin","best"
"313","data/0.2-0-2-0.15/129",608,"true","gen"
"314","data/0.2-0-2-0.15/129",484,"true","best"
"315","data/0.2-0-2-0.15/129",42,"twin","gen"
