"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight"
"171","data/0.2-0.15-1-0.2/35","GTR","strict","birth_death","twin",-17155.7033565722,11.4563095018878,1.09408149147637e-23
"172","data/0.2-0.15-1-0.2/35","JC69","strict","birth_death","true",-15596.4791578541,10.4191013457416,3.27455984960509e-07
"173","data/0.2-0.15-1-0.2/35","JC69","strict","yule","true",-15581.5473771451,10.6455686191949,0.999868529679122
"174","data/0.2-0.15-1-0.2/35","GTR","strict","birth_death","true",-15590.4864689235,10.5708747778749,0.000131142864892975
"175","data/0.2-0.15-1-0.2/36","JC69","strict","birth_death","twin",-18023.6897407106,10.3809284450029,0.999958182873335
"176","data/0.2-0.15-1-0.2/36","JC69","strict","yule","twin",-18033.7719034662,11.4966807872222,4.18171266620011e-05
"177","data/0.2-0.15-1-0.2/36","GTR","strict","birth_death","twin",-18057.0244396894,12.5824588144491,3.33354265267334e-15
"178","data/0.2-0.15-1-0.2/36","JC69","strict","birth_death","true",-16639.7367713732,11.0101898741394,0.0324991895725198
"179","data/0.2-0.15-1-0.2/36","JC69","strict","yule","true",-16636.3432702634,12.2976371816755,0.96750081042748
"180","data/0.2-0.15-1-0.2/36","GTR","strict","birth_death","true",-16769.5914907887,12.6869755613712,1.30823101174391e-58
"181","data/0.2-0.15-1.5-0.1/7","JC69","strict","birth_death","twin",-12269.3673719061,7.50085741894245,1
"182","data/0.2-0.15-1.5-0.1/7","JC69","strict","yule","twin",-23567.2327057512,0.384096093911211,0
"183","data/0.2-0.15-1.5-0.1/7","GTR","strict","birth_death","twin",-12329.9038234806,11.8188263083028,5.12098055996761e-27
"184","data/0.2-0.15-1.5-0.1/7","JC69","strict","birth_death","true",-12078.0011110042,8.9895720624583,0.999999167155416
"185","data/0.2-0.15-1.5-0.1/7","JC69","strict","yule","true",-12091.999528957,9.36177598703534,8.32844584319714e-07
"186","data/0.2-0.15-1.5-0.1/7","GTR","strict","birth_death","true",-12131.0078791822,11.6576236753448,9.53789890943839e-24
"187","data/0.2-0.15-1.5-0.1/8","JC69","strict","birth_death","twin",-9879.90968754574,7.63887451304215,2.45440635337868e-06
"188","data/0.2-0.15-1.5-0.1/8","JC69","strict","yule","twin",-9866.99206436294,6.05454930566304,0.999997545593647
"189","data/0.2-0.15-1.5-0.1/8","GTR","strict","birth_death","twin",-9905.42962605415,9.13760876669248,2.02664645679422e-17
"190","data/0.2-0.15-1.5-0.1/8","JC69","strict","birth_death","true",-10522.7937451897,6.9208560642064,0.900602999191582
"191","data/0.2-0.15-1.5-0.1/8","JC69","strict","yule","true",-10524.9976979091,6.97057957871319,0.0993959947519656
"192","data/0.2-0.15-1.5-0.1/8","GTR","strict","birth_death","true",-10536.4985268211,7.83052013780232,1.00605645217715e-06
"193","data/0.2-0.15-1.5-0.15/23","JC69","strict","birth_death","twin",-3266.46664419056,2.35614068270652,6.05978403153525e-46
"194","data/0.2-0.15-1.5-0.15/23","JC69","strict","yule","twin",-3162.34940407392,2.13548827295632,1
"195","data/0.2-0.15-1.5-0.15/23","GTR","strict","birth_death","twin",-3218.32006132687,8.1661303818701,4.92325586050247e-25
"196","data/0.2-0.15-1.5-0.15/23","JC69","strict","birth_death","true",-2991.96489618101,3.28706926993528,1
"197","data/0.2-0.15-1.5-0.15/23","JC69","strict","yule","true",-3078.54548214597,2.79193291663493,2.50339439465407e-38
"198","data/0.2-0.15-1.5-0.15/23","GTR","strict","birth_death","true",-4134.47030681457,0.468310287350747,0
"199","data/0.2-0.15-1.5-0.15/24","JC69","strict","birth_death","twin",-13220.0085095905,9.09927115445893,1
"200","data/0.2-0.15-1.5-0.15/24","JC69","strict","yule","twin",-24953.6140394586,0.34046387090815,0
"201","data/0.2-0.15-1.5-0.15/24","GTR","strict","birth_death","twin",-13255.5237124677,10.0604604912838,3.76654678949409e-16
"202","data/0.2-0.15-1.5-0.15/24","JC69","strict","birth_death","true",-24953.9914047275,1.12407003683495,0
"203","data/0.2-0.15-1.5-0.15/24","JC69","strict","yule","true",-24953.6223898859,0.344844210936787,0
